Student_Name,Gender,Grade_Level,Section,Payment_Status,Favorite_Subject,Extracurricular,Tuition_Fee,Monthly_Allowance,Current_GPA,Enrollment_Date,Date_of_Birth
Gary Hubbard,Male,Grade 7,A-Diamond,Full Payment,Computer Science,Glee Club,20683.49,827,75.49,2026-05-02,2008-04-14
Teresa Kemp,Female,Grade 12,A-Diamond,Scholarship,Literature,Student Council,37159.97,3526,85.96,2025-11-19,2011-01-22
Caleb Bird,Non-binary,Grade 11,B-Emerald,Scholarship,History,Student Council,28783.74,2261,82.89,2026-03-19,2013-12-30
Samantha White MD,Non-binary,Grade 11,D-Ruby,Scholarship,Computer Science,Varsity,20200.19,1967,88.82,2026-03-27,2008-03-12
Christian Hicks,Male,Grade 3,C-Sapphire,Installment,Science,Varsity,34666.1,761,92.86,2026-02-05,2012-12-29
Cynthia Castaneda,Female,Grade 6,A-Diamond,Full Payment,Science,Varsity,26553.36,886,98.77,2025-11-19,2010-02-21
Derrick French,Female,Grade 1,D-Ruby,Full Payment,Science,Glee Club,39226.84,3607,92.28,2026-02-09,2019-04-30
Jacqueline Johnson,Female,Grade 6,C-Sapphire,Late Payment,Mathematics,Glee Club,20026.08,4315,77.86,2026-01-31,2011-04-23
Robin Harris,Female,Grade 1,B-Emerald,Scholarship,Mathematics,Arts Club,38938.96,1354,76.6,2026-03-16,2017-06-27
Andrea Smith,Female,Grade 3,C-Sapphire,Full Payment,Computer Science,Arts Club,17367.05,4212,76.81,2025-06-16,2009-09-07
Cindy Fowler,Female,Grade 1,A-Diamond,Installment,History,Glee Club,36120.08,1046,91.2,2025-11-11,2018-09-13
Raymond James,Male,Grade 12,B-Emerald,Late Payment,Mathematics,Varsity,15266.11,1490,95.63,2025-08-31,2013-01-03
Paul Carr,Non-binary,Grade 9,C-Sapphire,Scholarship,Computer Science,Varsity,30718.27,2201,83.45,2025-08-16,2010-04-04
Linda Hooper,Female,Grade 11,A-Diamond,Scholarship,Literature,Arts Club,25743.09,2506,92.17,2026-03-07,2014-12-15
Rachel Holland,Non-binary,Grade 7,D-Ruby,Late Payment,Computer Science,Arts Club,40584.15,4737,84.68,2025-06-11,2018-04-30
Daniel Jordan,Male,Grade 1,B-Emerald,Installment,Science,Student Council,39080.53,4937,97.43,2025-05-29,2017-06-09
Jimmy Phillips,Non-binary,Grade 3,D-Ruby,Installment,Computer Science,Glee Club,25773.39,1194,75.74,2025-08-25,2018-11-11
Jacob Ramirez,Non-binary,Grade 11,A-Diamond,Installment,History,Arts Club,25226.66,4849,76.76,2025-06-06,2013-08-16
Sean Bowen,Non-binary,Grade 11,D-Ruby,Late Payment,Computer Science,Glee Club,15888.4,2853,93.25,2025-06-14,2008-08-16
Kimberly Anderson,Non-binary,Grade 11,A-Diamond,Late Payment,Science,Glee Club,27234.4,2632,88.82,2025-05-08,2011-10-11
Anthony Jackson,Non-binary,Grade 9,C-Sapphire,Late Payment,History,None,19651.03,1668,93.55,2025-06-20,2016-03-21
Anthony Ball,Male,Grade 3,A-Diamond,Scholarship,Literature,Student Council,39161.84,953,85.15,2025-07-13,2010-04-11
Kurt Diaz,Non-binary,Grade 9,A-Diamond,Late Payment,Mathematics,None,23234.78,4566,76.25,2025-07-20,2019-02-19
Terry Harvey,Male,Grade 11,C-Sapphire,Installment,Literature,Arts Club,35204.9,2825,96.34,2025-12-05,2013-12-26
Mark Carter,Non-binary,Grade 6,D-Ruby,Full Payment,Literature,Varsity,26559.13,4770,77.06,2025-11-13,2018-12-24
Destiny Vaughn,Female,Grade 12,B-Emerald,Late Payment,History,Arts Club,15983.72,1355,81.53,2026-04-19,2009-03-01
Megan Ray,Female,Grade 12,A-Diamond,Full Payment,History,Glee Club,40811.02,724,97.46,2025-09-22,2015-05-16
Michael Duncan,Female,Grade 1,A-Diamond,Late Payment,Literature,Varsity,36732.13,4808,84.3,2025-09-17,2009-07-11
Jennifer Davis,Male,Grade 3,B-Emerald,Full Payment,Literature,Student Council,25633.42,2658,81.0,2025-09-20,2020-04-30
Daniel Tran,Male,Grade 3,A-Diamond,Late Payment,Literature,Glee Club,31745.48,1724,79.84,2026-02-04,2016-07-25
Sarah Young,Non-binary,Grade 12,B-Emerald,Installment,Science,Student Council,24121.88,2701,97.24,2026-04-06,2012-04-06
Samantha Arroyo,Female,Grade 11,A-Diamond,Late Payment,Computer Science,Glee Club,38153.59,4594,85.17,2025-06-17,2014-02-28
Linda Smith,Male,Grade 11,B-Emerald,Full Payment,History,Glee Club,35632.36,3160,78.68,2025-12-13,2018-04-23
Angel Jones,Male,Grade 6,D-Ruby,Late Payment,Computer Science,Arts Club,27008.91,4868,89.13,2025-10-04,2013-06-26
Caitlin Weaver,Non-binary,Grade 6,D-Ruby,Scholarship,Computer Science,Varsity,35684.34,4933,89.61,2026-03-05,2007-07-21
Brett Nelson,Female,Grade 9,D-Ruby,Full Payment,Computer Science,Glee Club,35081.11,1552,83.94,2025-09-07,2010-11-15
Michael Olsen,Non-binary,Grade 3,B-Emerald,Full Payment,Mathematics,Glee Club,31638.76,2220,88.98,2026-03-04,2008-12-10
Jason Navarro,Female,Grade 3,A-Diamond,Installment,Computer Science,Varsity,30995.49,3937,82.22,2025-07-10,2012-12-20
Darren Carter,Non-binary,Grade 12,A-Diamond,Installment,Science,None,41879.16,4315,87.81,2026-01-03,2011-08-31
Mary Matthews,Non-binary,Grade 3,B-Emerald,Scholarship,Computer Science,Arts Club,38154.67,2319,87.79,2025-12-15,2014-06-23
Kelly Leonard,Female,Grade 3,C-Sapphire,Scholarship,Mathematics,None,18543.23,4595,81.28,2026-04-14,2014-01-28
Claudia Turner,Male,Grade 12,C-Sapphire,Scholarship,History,Glee Club,32164.68,2408,83.47,2025-09-11,2013-12-06
Ronald Smith,Male,Grade 11,B-Emerald,Installment,Science,Glee Club,23285.87,4375,96.13,2025-08-10,2012-04-20
Christopher Cordova,Non-binary,Grade 3,C-Sapphire,Late Payment,Computer Science,None,41153.33,3377,81.56,2025-09-28,2009-12-13
Edward Ballard,Non-binary,Grade 7,D-Ruby,Full Payment,History,Arts Club,15081.87,3191,89.09,2025-09-06,2017-08-22
Melissa Miller,Non-binary,Grade 12,A-Diamond,Installment,Literature,Arts Club,38372.0,3287,94.32,2026-01-02,2018-03-24
Joshua Jensen,Male,Grade 1,B-Emerald,Scholarship,Mathematics,Glee Club,28262.59,1085,97.76,2025-09-07,2008-09-03
Caitlin Hobbs,Male,Grade 3,A-Diamond,Late Payment,History,Glee Club,35004.92,2009,76.16,2025-12-01,2008-11-19
Donald Fritz,Male,Grade 9,B-Emerald,Full Payment,Science,Glee Club,19068.97,2669,88.2,2025-09-20,2020-01-29
Alexis Taylor,Male,Grade 7,B-Emerald,Full Payment,Literature,Arts Club,19766.31,4255,85.27,2026-01-05,2008-12-04
Ryan Lee,Non-binary,Grade 3,A-Diamond,Late Payment,Mathematics,Arts Club,32824.33,1322,88.67,2025-06-11,2011-07-04
Brian Mendez,Male,Grade 12,D-Ruby,Scholarship,Literature,Student Council,39731.19,1050,76.2,2025-09-30,2014-06-12
Brandy Gonzalez,Non-binary,Grade 3,B-Emerald,Installment,Science,Student Council,27943.81,3393,92.89,2026-03-04,2008-09-25
Carla Gonzalez,Female,Grade 12,D-Ruby,Scholarship,Mathematics,Student Council,21550.71,3243,94.41,2026-02-09,2008-05-06
Anna Delacruz,Female,Grade 6,B-Emerald,Full Payment,Computer Science,Glee Club,33930.3,4715,92.89,2025-05-11,2011-06-04
Jade Johnson,Female,Grade 6,B-Emerald,Scholarship,Science,Glee Club,19957.29,3898,98.49,2026-01-31,2019-12-19
Jennifer Collins,Non-binary,Grade 7,D-Ruby,Late Payment,Computer Science,Varsity,16371.88,1135,78.19,2026-03-03,2014-08-27
John Garcia,Male,Grade 9,C-Sapphire,Scholarship,Science,Glee Club,30737.34,4008,80.42,2026-02-16,2011-11-26
Harold Carter,Male,Grade 6,B-Emerald,Late Payment,Mathematics,Student Council,27991.95,4135,79.62,2025-09-02,2010-07-04
Kelly Stewart,Non-binary,Grade 12,D-Ruby,Full Payment,Science,Student Council,44095.49,1630,76.55,2025-11-26,2010-09-10
Bailey Lawrence,Non-binary,Grade 1,B-Emerald,Scholarship,Mathematics,None,42602.1,1439,80.83,2026-02-19,2019-09-29
Marie Farley,Non-binary,Grade 9,A-Diamond,Installment,Mathematics,None,22893.36,3891,92.67,2025-12-07,2007-05-24
Brooke Campbell,Male,Grade 11,C-Sapphire,Scholarship,Science,Glee Club,35052.86,749,79.9,2025-09-12,2009-12-26
Alisha Palmer,Male,Grade 6,A-Diamond,Installment,History,Glee Club,22277.48,2230,91.14,2025-07-10,2008-12-26
James Dunn,Non-binary,Grade 9,D-Ruby,Scholarship,Literature,Varsity,26488.33,2009,78.59,2025-09-01,2019-04-01
Lisa Dunlap DVM,Female,Grade 7,B-Emerald,Full Payment,Mathematics,Arts Club,41331.29,503,92.27,2026-03-18,2014-10-18
Melissa Taylor,Non-binary,Grade 12,D-Ruby,Full Payment,History,Student Council,34837.24,1113,97.61,2025-11-07,2011-10-21
Jordan Barber,Male,Grade 3,B-Emerald,Full Payment,History,None,24188.93,4020,96.13,2025-05-12,2019-01-31
Edward Downs DDS,Male,Grade 12,C-Sapphire,Full Payment,History,None,25706.64,1079,92.68,2026-04-06,2018-08-17
Dean Pham,Non-binary,Grade 11,B-Emerald,Installment,Computer Science,Arts Club,43386.04,4207,96.72,2025-11-21,2008-02-20
Corey Whitaker,Non-binary,Grade 1,A-Diamond,Installment,Science,None,28999.75,1232,92.17,2025-05-19,2014-07-10
Tammy Gibson,Non-binary,Grade 7,D-Ruby,Late Payment,Literature,Glee Club,22181.62,2792,77.7,2025-12-02,2015-03-18
Kristin Mccoy,Non-binary,Grade 12,C-Sapphire,Installment,Mathematics,Arts Club,40807.91,3167,95.51,2025-12-04,2011-02-21
John Butler,Non-binary,Grade 11,B-Emerald,Late Payment,Literature,Varsity,16032.91,4483,96.48,2026-03-30,2015-09-08
James Garza,Non-binary,Grade 11,D-Ruby,Full Payment,History,Student Council,29634.75,852,92.05,2025-07-22,2017-07-27
Chase Hodges,Male,Grade 11,C-Sapphire,Full Payment,Literature,Varsity,33341.84,792,79.61,2025-07-10,2018-05-30
Casey Vasquez,Male,Grade 7,A-Diamond,Scholarship,Literature,None,25529.05,3756,86.03,2026-05-05,2014-04-09
Makayla Peterson,Female,Grade 7,C-Sapphire,Late Payment,Computer Science,Student Council,23096.1,4826,78.57,2025-09-11,2016-05-04
Vanessa Rodriguez,Non-binary,Grade 9,B-Emerald,Scholarship,Mathematics,None,41561.14,681,91.37,2025-06-17,2013-08-22
Carly Mccullough,Male,Grade 1,C-Sapphire,Installment,History,Student Council,41501.12,2317,93.19,2026-03-25,2011-05-29
Jessica Mccormick,Male,Grade 1,B-Emerald,Scholarship,Literature,Arts Club,40623.34,4697,95.71,2025-06-10,2015-09-21
Susan Wise,Male,Grade 12,B-Emerald,Late Payment,Computer Science,None,20348.76,937,80.74,2025-10-03,2016-03-28
Whitney Foster,Non-binary,Grade 7,D-Ruby,Full Payment,History,Glee Club,44822.36,1967,75.31,2026-02-09,2017-07-25
James Smith,Female,Grade 9,A-Diamond,Installment,Mathematics,Glee Club,36990.24,3997,90.53,2025-09-09,2013-12-08
Regina Norris,Non-binary,Grade 9,D-Ruby,Late Payment,Science,Student Council,15693.2,804,95.98,2025-12-06,2019-08-12
Anthony Munoz,Male,Grade 6,D-Ruby,Installment,Computer Science,Varsity,26162.19,1238,81.25,2026-01-17,2020-03-03
Michael Bailey,Non-binary,Grade 3,A-Diamond,Scholarship,History,Student Council,36694.35,1831,98.04,2026-03-29,2014-04-01
Ashley Burke,Female,Grade 1,C-Sapphire,Late Payment,Computer Science,Student Council,27662.63,3284,75.55,2025-08-19,2015-10-02
Victor Beck,Non-binary,Grade 11,C-Sapphire,Late Payment,Science,Varsity,26309.22,1828,82.57,2025-09-15,2016-07-07
Carol Wright,Female,Grade 6,C-Sapphire,Installment,Computer Science,Glee Club,35617.54,3738,90.45,2026-04-25,2007-12-17
Alex Scott,Non-binary,Grade 9,D-Ruby,Late Payment,History,Glee Club,22002.41,4366,79.99,2025-08-15,2008-05-09
Leonard Watkins,Female,Grade 12,B-Emerald,Installment,Computer Science,Glee Club,32688.44,3435,88.14,2025-07-07,2007-07-27
Melissa Wright,Male,Grade 12,D-Ruby,Installment,Literature,Student Council,34043.51,523,78.88,2025-08-24,2016-08-12
William Moore III,Female,Grade 11,D-Ruby,Late Payment,Science,Varsity,28093.81,4818,76.22,2026-03-29,2012-08-22
Jade Watson,Male,Grade 12,D-Ruby,Scholarship,History,Student Council,17177.69,4410,93.97,2026-01-04,2009-05-06
Jamie Fuentes,Non-binary,Grade 3,C-Sapphire,Full Payment,Science,None,28756.51,1069,89.57,2025-07-29,2013-05-22
Nancy Hoffman,Non-binary,Grade 9,C-Sapphire,Full Payment,Mathematics,Glee Club,40362.18,4858,95.5,2025-09-29,2015-04-03
Amber Middleton,Male,Grade 1,D-Ruby,Installment,History,Student Council,29013.45,2603,84.68,2025-06-13,2017-05-05
Timothy Snyder,Male,Grade 11,C-Sapphire,Installment,Mathematics,None,35234.15,3207,96.81,2025-10-22,2017-08-08
Melissa Coleman,Non-binary,Grade 7,B-Emerald,Installment,Computer Science,Varsity,32326.64,3856,80.29,2025-10-28,2008-09-17
Gina Schroeder,Female,Grade 3,C-Sapphire,Scholarship,Science,Student Council,38697.09,2381,89.2,2025-11-18,2019-01-08
Charles Prince,Male,Grade 11,A-Diamond,Installment,Literature,Student Council,22651.89,3824,82.58,2025-06-11,2007-08-20
Yvonne Johnson,Female,Grade 9,D-Ruby,Installment,Literature,Student Council,19017.12,4645,78.1,2025-10-18,2017-07-07
Scott Smith,Female,Grade 1,A-Diamond,Late Payment,Literature,Student Council,22084.49,4564,75.37,2025-05-11,2012-02-12
Adam Johnson,Female,Grade 1,A-Diamond,Late Payment,Computer Science,Student Council,25143.35,4885,78.01,2025-09-21,2020-03-19
Edgar Morgan,Non-binary,Grade 6,C-Sapphire,Late Payment,Mathematics,Glee Club,33567.57,2410,83.73,2025-06-14,2011-12-04
David Kelly,Non-binary,Grade 11,D-Ruby,Late Payment,Computer Science,None,32044.06,3451,80.8,2025-11-05,2011-11-02
Allison Mitchell,Non-binary,Grade 1,B-Emerald,Scholarship,Computer Science,Varsity,17315.23,2152,80.23,2026-01-30,2019-10-08
Nicholas Thomas,Non-binary,Grade 9,A-Diamond,Late Payment,Mathematics,Student Council,27201.87,2555,84.37,2025-06-15,2011-07-06
Gerald Patterson,Non-binary,Grade 11,C-Sapphire,Installment,Computer Science,Arts Club,27987.97,4965,95.71,2026-03-03,2008-10-31
Charles Miller DDS,Non-binary,Grade 6,A-Diamond,Full Payment,History,None,24411.71,4090,93.73,2025-09-27,2018-12-11
Nathaniel Salinas,Female,Grade 7,C-Sapphire,Full Payment,Mathematics,Varsity,19843.76,2349,86.41,2025-12-15,2020-03-04
Darlene Schultz,Non-binary,Grade 6,B-Emerald,Installment,History,Student Council,35474.25,852,93.25,2026-04-22,2018-09-12
Jordan Pennington,Non-binary,Grade 3,A-Diamond,Late Payment,Computer Science,Glee Club,37894.27,4142,85.95,2025-12-04,2014-02-20
Joel Frank,Female,Grade 12,B-Emerald,Scholarship,Literature,Glee Club,15116.32,3382,95.33,2025-08-04,2008-12-07
Taylor Leach,Male,Grade 7,C-Sapphire,Late Payment,Science,None,19708.14,1367,88.88,2025-11-28,2013-07-10
Ashley Oconnor,Non-binary,Grade 9,B-Emerald,Full Payment,Science,Glee Club,38792.01,4951,90.22,2025-08-22,2012-10-20
Charles Phillips,Male,Grade 3,C-Sapphire,Full Payment,Literature,Arts Club,42794.41,995,83.96,2026-04-18,2009-12-02
Jack May,Non-binary,Grade 3,B-Emerald,Full Payment,Science,None,28863.73,3259,77.04,2025-10-19,2009-10-28
Manuel Johnson,Non-binary,Grade 7,C-Sapphire,Late Payment,Science,Varsity,15422.38,2647,86.04,2026-04-03,2016-09-11
Caitlin Hill,Female,Grade 1,D-Ruby,Full Payment,Computer Science,None,34810.01,3166,97.77,2026-04-19,2012-05-04
Debra Martinez,Non-binary,Grade 3,A-Diamond,Late Payment,Science,Arts Club,20682.68,1604,92.49,2026-04-24,2011-05-24
Kevin Hunter,Non-binary,Grade 3,B-Emerald,Late Payment,Mathematics,Glee Club,28648.13,4056,88.82,2026-04-25,2010-06-30
Steven Nelson,Non-binary,Grade 3,A-Diamond,Full Payment,Science,Varsity,39631.51,4194,93.31,2025-08-31,2016-07-18
Emily Morris,Non-binary,Grade 1,B-Emerald,Scholarship,Mathematics,Student Council,29871.75,3669,80.37,2025-09-19,2008-10-21
Kyle Sherman,Female,Grade 6,B-Emerald,Late Payment,Science,Varsity,31164.55,735,88.77,2025-06-05,2017-10-06
Ronald Moore,Non-binary,Grade 7,D-Ruby,Scholarship,History,Student Council,32689.0,553,87.2,2025-05-28,2013-03-20
Dennis Sanders,Female,Grade 3,A-Diamond,Full Payment,Science,Varsity,41518.0,1930,82.35,2026-01-22,2018-07-15
Jennifer Cabrera,Male,Grade 7,C-Sapphire,Late Payment,Computer Science,Student Council,25599.21,2824,87.49,2026-02-06,2012-01-09
William Jones,Female,Grade 1,D-Ruby,Late Payment,Literature,Arts Club,22428.99,2418,91.49,2025-05-16,2013-07-31
Mary Murphy,Male,Grade 11,A-Diamond,Scholarship,Literature,Glee Club,17948.52,1907,81.75,2025-07-22,2011-08-26
Robert Hawkins,Female,Grade 1,D-Ruby,Full Payment,History,Glee Club,42707.91,3554,95.66,2025-07-05,2018-12-19
Nicole Hall,Female,Grade 1,B-Emerald,Scholarship,Computer Science,Arts Club,28490.32,3798,89.53,2025-08-06,2014-09-22
Rebecca Collins,Female,Grade 9,B-Emerald,Late Payment,Mathematics,Glee Club,34955.48,1510,78.14,2025-11-08,2008-11-08
Evelyn Lloyd,Male,Grade 11,B-Emerald,Full Payment,Science,Glee Club,17387.42,2371,85.89,2025-10-06,2008-05-25
Brian Warren,Male,Grade 11,A-Diamond,Full Payment,Literature,Student Council,41980.32,4517,97.24,2026-03-24,2009-06-02
Ashley Wagner,Non-binary,Grade 9,C-Sapphire,Late Payment,Science,Arts Club,37365.31,3012,95.91,2025-09-03,2014-01-22
Jennifer Robinson,Female,Grade 7,A-Diamond,Installment,Science,Varsity,43721.86,3417,98.69,2026-02-08,2010-04-23
Michael Hughes,Female,Grade 6,B-Emerald,Late Payment,Mathematics,Arts Club,18326.94,3035,89.81,2026-01-02,2007-12-16
Ashley Moore,Non-binary,Grade 6,D-Ruby,Scholarship,Science,Glee Club,36780.0,669,77.59,2026-05-06,2008-09-06
Mary Everett,Non-binary,Grade 1,A-Diamond,Full Payment,Computer Science,Glee Club,30714.22,573,94.27,2025-08-04,2010-05-07
Jennifer Odonnell,Non-binary,Grade 1,B-Emerald,Full Payment,Literature,Varsity,42542.94,2498,92.57,2026-04-15,2017-09-22
David Herring,Non-binary,Grade 12,D-Ruby,Late Payment,Computer Science,None,29597.01,3855,85.64,2025-06-26,2015-03-17
Kimberly Crane,Non-binary,Grade 11,B-Emerald,Installment,History,Varsity,26594.22,887,95.32,2025-09-26,2019-04-05
Marvin Mcconnell,Female,Grade 12,B-Emerald,Full Payment,Computer Science,None,27765.55,4338,95.6,2025-07-27,2014-05-28
Justin Griffin,Non-binary,Grade 9,B-Emerald,Installment,Literature,Arts Club,42942.58,2405,80.44,2026-02-28,2014-04-09
Mark Flowers,Male,Grade 11,D-Ruby,Late Payment,Science,Varsity,19228.2,1173,91.61,2026-03-02,2015-10-10
Michael Smith,Male,Grade 9,C-Sapphire,Late Payment,Computer Science,None,21567.67,2622,83.27,2026-04-24,2013-06-06
James Schmidt,Male,Grade 1,C-Sapphire,Scholarship,History,Glee Club,20746.67,4027,92.21,2025-12-10,2014-02-17
Joshua Woods,Female,Grade 11,B-Emerald,Late Payment,History,Glee Club,31420.64,4144,83.97,2026-03-22,2008-09-20
Samantha Hogan,Male,Grade 7,C-Sapphire,Late Payment,Computer Science,Arts Club,29599.03,4466,96.09,2025-12-24,2007-06-24
Mr. Michael Spencer,Male,Grade 6,D-Ruby,Late Payment,Science,Glee Club,33584.99,4412,76.73,2025-05-10,2008-05-20
Mrs. Karen Frederick MD,Female,Grade 6,C-Sapphire,Full Payment,Science,Student Council,39270.2,4648,82.05,2025-05-24,2017-12-07
Kari Jones,Female,Grade 12,B-Emerald,Late Payment,Mathematics,None,35932.22,3892,88.89,2025-08-24,2012-04-17
Destiny Smith MD,Female,Grade 6,B-Emerald,Installment,Literature,Arts Club,22386.65,4003,97.8,2026-03-18,2018-08-08
Joshua Hobbs,Male,Grade 7,D-Ruby,Full Payment,Computer Science,Student Council,16659.12,2449,84.65,2025-12-14,2009-12-20
Alyssa Jones,Non-binary,Grade 12,D-Ruby,Installment,Science,Varsity,29035.29,1685,80.48,2026-02-04,2019-06-18
Anthony Williams,Non-binary,Grade 1,B-Emerald,Installment,Mathematics,Student Council,32694.7,2142,91.29,2025-08-05,2015-10-20
Rebecca Rodgers,Female,Grade 7,A-Diamond,Late Payment,Mathematics,None,25547.08,4271,98.99,2026-04-07,2018-07-02
John Smith,Non-binary,Grade 1,B-Emerald,Scholarship,Literature,Student Council,40574.45,2286,80.11,2025-10-23,2016-05-07
Allison Wallace,Male,Grade 6,A-Diamond,Installment,Mathematics,Student Council,32263.63,698,76.87,2026-04-05,2017-01-03
Richard Meyer,Male,Grade 12,C-Sapphire,Scholarship,History,Student Council,17178.79,615,75.06,2026-01-27,2009-09-06
Andrea Ford,Female,Grade 9,B-Emerald,Scholarship,History,Varsity,44522.1,2190,84.76,2025-08-17,2013-12-15
Mrs. Ashley Acosta DVM,Non-binary,Grade 11,D-Ruby,Installment,History,Student Council,37761.44,4042,95.65,2026-04-12,2007-11-13
Hannah Robinson,Non-binary,Grade 12,C-Sapphire,Installment,Mathematics,Student Council,27792.7,1737,88.33,2025-11-05,2012-01-11
Jillian Park,Non-binary,Grade 12,B-Emerald,Full Payment,Literature,Glee Club,20997.8,2829,75.06,2025-07-28,2018-05-16
Lisa Dickerson,Male,Grade 1,D-Ruby,Scholarship,Literature,Student Council,23521.27,2048,82.88,2026-04-20,2018-03-06
Jesse Stevenson,Male,Grade 6,C-Sapphire,Late Payment,Mathematics,Varsity,21143.45,3708,95.33,2025-08-26,2010-05-10
Autumn Boone,Female,Grade 6,C-Sapphire,Full Payment,Science,Glee Club,25561.75,4082,84.09,2025-10-25,2018-10-11
Kristen Daniel,Male,Grade 7,C-Sapphire,Scholarship,History,Arts Club,34340.78,4761,80.82,2025-09-10,2020-03-30
James Hernandez,Non-binary,Grade 6,C-Sapphire,Installment,Literature,Student Council,40720.43,1676,90.74,2026-05-01,2012-11-23
Jennifer Martin,Male,Grade 1,D-Ruby,Scholarship,History,Varsity,21264.75,3207,83.19,2025-05-09,2010-01-17
Anthony Schmidt,Female,Grade 1,D-Ruby,Full Payment,Computer Science,Student Council,34893.31,2203,96.56,2025-07-27,2019-11-09
Michele Beard,Non-binary,Grade 6,B-Emerald,Full Payment,Science,Student Council,22776.52,2968,95.42,2025-10-26,2017-05-10
Susan Powers,Non-binary,Grade 1,B-Emerald,Scholarship,Literature,Arts Club,32404.84,4095,97.37,2025-05-29,2010-11-05
Bradley Mitchell,Female,Grade 6,B-Emerald,Installment,Literature,Glee Club,32896.72,1889,95.99,2025-10-15,2015-08-26
Fernando Bryant,Non-binary,Grade 1,D-Ruby,Full Payment,Mathematics,Student Council,43613.84,3436,82.45,2025-09-04,2010-05-24
Nicholas Thompson,Male,Grade 3,B-Emerald,Late Payment,Science,Glee Club,42477.88,4075,79.68,2026-02-15,2013-02-17
Mark Rogers,Female,Grade 6,D-Ruby,Scholarship,Computer Science,Arts Club,25416.3,3382,97.3,2025-11-08,2017-05-20
Matthew Parker,Female,Grade 6,D-Ruby,Installment,History,None,22415.42,812,98.71,2025-05-29,2007-06-09
Tiffany Reynolds,Non-binary,Grade 9,B-Emerald,Late Payment,Computer Science,Student Council,27710.17,1560,97.04,2026-03-31,2014-04-23
Daniel Norris,Male,Grade 12,C-Sapphire,Full Payment,History,Arts Club,19857.21,1269,97.97,2025-11-10,2011-06-04
Larry Smith,Non-binary,Grade 6,A-Diamond,Late Payment,Mathematics,Arts Club,37190.43,2758,98.79,2026-04-29,2011-07-26
Tanya Howard,Female,Grade 7,C-Sapphire,Installment,Science,Varsity,18807.52,4284,91.39,2025-10-22,2016-11-15
Sandra Schwartz,Non-binary,Grade 9,A-Diamond,Late Payment,Mathematics,None,22233.52,2752,98.97,2025-07-10,2009-04-04
Bryan Butler,Non-binary,Grade 11,B-Emerald,Full Payment,Mathematics,Arts Club,38127.68,2157,94.14,2026-04-14,2013-11-20
James Wright,Female,Grade 11,D-Ruby,Full Payment,Literature,Glee Club,31670.95,1858,93.3,2025-09-14,2013-08-29
Thomas Nichols,Male,Grade 6,C-Sapphire,Late Payment,Science,None,37018.39,1211,78.65,2026-02-25,2019-08-23
Jessica Hooper,Female,Grade 7,A-Diamond,Full Payment,History,Glee Club,17054.39,2709,83.63,2025-12-13,2012-12-25
Charles Howe,Non-binary,Grade 11,B-Emerald,Scholarship,Computer Science,Varsity,25166.74,4566,96.41,2025-07-06,2011-10-25
Kyle Ponce,Female,Grade 6,D-Ruby,Late Payment,History,Varsity,26199.14,4749,95.89,2025-10-02,2016-01-11
